University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country
Politecnico di Milano,Italy,politecnico di milano,https://openalex.org/I93860229,Politecnico di Milano,[],IT,Italy
Polytechnic University of Bucharest,Romania,polytechnic university of bucharest,https://openalex.org/I61641377,Polytechnic University of Bucharest,"[""Universitatea Politehnica din Bucure\u0219ti""]",RO,Romania
Pompeu Fabra University,Spain,pompeu fabra university,https://openalex.org/I170486558,Pompeu Fabra University,"[""Universitat Pompeu Fabra""]",ES,Spain
Pondicherry University,India,pondicherry university,https://openalex.org/I175691731,Pondicherry University,[],IN,India
Pontificia Universidad Católica de Chile,Chile,pontificia universidad catolica de chile,https://openalex.org/I162148367,Pontificia Universidad Católica de Chile,[],CL,Chile
Portland State University,United States,portland state university,https://openalex.org/I126345244,Portland State University,[],US,United States
Poznań University of Medical Sciences,Poland,poznan university of medical sciences,https://openalex.org/I120230055,Poznan University of Medical Sciences,"[""Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu""]",PL,Poland
Poznań University of Technology,Poland,poznan university of technology,https://openalex.org/I46597724,Poznań University of Technology,"[""Politechnika Pozna\u0144ska""]",PL,Poland
Prince of Songkla University,Thailand,prince of songkla university,https://openalex.org/I131868736,Prince of Songkla University,"[""Mahawitthayalai Songkhla Nakharin""]",TH,Thailand
Princeton University,United States,princeton university,https://openalex.org/I20089843,Princeton University,"[""College of New Jersey""]",US,United States
Pukyong National University,South Korea,pukyong national university,https://openalex.org/I8991828,Pukyong National University,[],KR,South Korea
"Purdue University, West Lafayette",United States,purdue university west lafayette,https://openalex.org/I219193219,Purdue University West Lafayette,[],US,United States
Pusan National University,South Korea,pusan national university,https://openalex.org/I4921948,Pusan National University,"[""Busan National University"", ""Miryang National University""]",KR,South Korea
Qatar University,Qatar,qatar university,https://openalex.org/I60342839,Qatar University,"[""University of Qatar""]",QA,Qatar
Qingdao Agricultural University,China,qingdao agricultural university,https://openalex.org/I146773158,Qingdao Agricultural University,[],CN,China
Qingdao University,China,qingdao university,https://openalex.org/I108688024,Qingdao University,"[""Q\u012bngd\u01ceo D\u00e0xu\u00e9""]",CN,China
Qingdao University of Science & Technology,China,qingdao university of science and technology,https://openalex.org/I143413998,Qingdao University of Science and Technology,"[""Q\u012bngd\u01ceo K\u0113j\u00ec D\u00e0xu\u00e9""]",CN,China
Queen Mary University of London,United Kingdom,queen mary university of london,https://openalex.org/I166337079,Queen Mary University of London,"[""London Hospital Medical College"", ""Medical College of St Bartholomew's Hospital"", ""Westfield College"", ""Queen Mary College""]",GB,United Kingdom
Queen's University,Canada,queen's university,https://openalex.org/I204722609,Queen's University,"[""Queen's College at Kingston""]",CA,Canada
Queen's University Belfast,United Kingdom,queen's university belfast,https://openalex.org/I126231945,Queen's University Belfast,[],GB,United Kingdom
Queensland University of Technology,Australia,queensland university of technology,https://openalex.org/I160993911,Queensland University of Technology,[],AU,Australia
Qufu Normal University,China,qufu normal university,https://openalex.org/I202126657,Qufu Normal University,"[""Q\u016bf\u00f9 Sh\u012bf\u00e0n D\u00e0xu\u00e9""]",CN,China
Razi University,Iran,razi university,https://openalex.org/I1187138,Razi University,[],IR,Iran
Renmin University of China,China,renmin university of china,https://openalex.org/I78988378,Renmin University of China,"[""People's University of China"", ""Zh\u014dnggu\u00f3 R\u00e9nm\u00edn D\u00e0xu\u00e9""]",CN,China
Rensselaer Polytechnic Institute,United States,rensselaer polytechnic institute,https://openalex.org/I165799507,Rensselaer Polytechnic Institute,"[""Rensselaer School"", ""Rensselaer Institute""]",US,United States
Rhodes University,South Africa,rhodes university,https://openalex.org/I203238179,Rhodes University,"[""Rhodes University College""]",ZA,South Africa
Rice University,United States,rice university,https://openalex.org/I74775410,Rice University,"[""William Marsh Rice University""]",US,United States
Rio de Janeiro State University,Brazil,rio de janeiro state university,https://openalex.org/I40034438,Rio de Janeiro State University,[],BR,Brazil
Ritsumeikan University,Japan,ritsumeikan university,https://openalex.org/I135768898,Ritsumeikan University,"[""Ritsumeikan Daigaku""]",JP,Japan
RMIT University,Australia,rmit university,https://openalex.org/I82951845,RMIT University,"[""Royal Melbourne Institute of Technology University""]",AU,Australia
Rochester Institute of Technology,United States,rochester institute of technology,https://openalex.org/I155173764,Rochester Institute of Technology,"[""Rochester Athenaeum and Mechanics Institute""]",US,United States
Rockefeller University,United States,rockefeller university,https://openalex.org/I83399316,Rockefeller University,[],US,United States
Roma Tre University,Italy,roma tre university,https://openalex.org/I119003972,Roma Tre University,[],IT,Italy
"Royal Holloway, University of London",United Kingdom,royal holloway university of london,https://openalex.org/I184558857,Royal Holloway University of London,"[""Royal Holloway and Bedford New College""]",GB,United Kingdom
Rush University,United States,rush university,https://openalex.org/I49886154,Rush University,[],US,United States
"Rutgers, The State University of New Jersey",United States,rutgers the state university of new jersey,https://openalex.org/I102322142,"Rutgers, The State University of New Jersey","[""Rutgers"", ""Rutgers University""]",US,United States
RWTH Aachen University,Germany,rwth aachen university,https://openalex.org/I887968799,RWTH Aachen University,"[""RWTH Aachen""]",DE,Germany
Ryerson University,Canada,ryerson university,https://openalex.org/I530967,Ryerson University,[],CA,Canada
Saarland University,Germany,saarland university,https://openalex.org/I91712215,Saarland University,[],DE,Germany
Sahand University of Technology,Iran,sahand university of technology,https://openalex.org/I107853901,Sahand University of Technology,[],IR,Iran
Sakarya University,Turkey,sakarya university,https://openalex.org/I103703290,Sakarya University,"[""Sakarya \u00dcniversitesi""]",TR,Turkey
San Diego State University,United States,san diego state university,https://openalex.org/I26538001,San Diego State University,[],US,United States
Sapienza University of Rome,Italy,sapienza university of rome,https://openalex.org/I861853513,Sapienza University of Rome,"[""Universit\u00e0 degli Studi di Roma \""La Sapienza\""""]",IT,Italy
Second Military Medical University,China,second military medical university,https://openalex.org/I177933477,Second Military Medical University,"[""People's Medical College of the East China Military Commanding Region"", ""People's Liberation Army Naval Medical University""]",CN,China
Sejong University,South Korea,sejong university,https://openalex.org/I28777354,Sejong University,[],KR,South Korea
Selçuk University,Turkey,selcuk university,https://openalex.org/I137996928,Selçuk University,"[""Sel\u00e7uk \u00dcniversitesi""]",TR,Turkey
Semmelweis University,Hungary,semmelweis university,https://openalex.org/I101202996,Semmelweis University,"[""Semmelweis Egyetem""]",HU,Hungary
Semnan University,Iran,semnan university,https://openalex.org/I928334797,Semnan University,[],IR,Iran
Seoul National University,South Korea,seoul national university,https://openalex.org/I139264467,Seoul National University,"[""Seoul Daehakgyo""]",KR,South Korea
Seoul National University of Science and Technology,South Korea,seoul national university of science and technology,https://openalex.org/I118373667,Seoul National University of Science and Technology,"[""SeoulTech""]",KR,South Korea
Shaanxi Normal University,China,shaanxi normal university,https://openalex.org/I88830068,Shaanxi Normal University,"[""Shanxi Teachers University"", ""Sh\u01cenx\u012b Sh\u012bf\u00e0n D\u00e0xu\u00e9""]",CN,China
Shaanxi University of Science & Technology,China,shaanxi university of science and technology,https://openalex.org/I51622183,Shaanxi University of Science and Technology,"[""Northwest Institute of Light Industry"", ""Beijing Institute of Light Industry""]",CN,China
Shahid Bahonar University of Kerman,Iran,shahid bahonar university of kerman,https://openalex.org/I115566878,Shahid Bahonar University of Kerman,[],IR,Iran
Shahid Beheshti University,Iran,shahid beheshti university,https://openalex.org/I48379061,Shahid Beheshti University,"[""National University of Iran""]",IR,Iran
Shahid Beheshti University of Medical Sciences,Iran,shahid beheshti university of medical sciences,https://openalex.org/I58048189,Shahid Beheshti University of Medical Sciences,[],IR,Iran
Shandong Agricultural University,China,shandong agricultural university,https://openalex.org/I74485261,Shandong Agricultural University,"[""Sh\u0101nd\u014dng N\u00f3ngy\u00e8 D\u00e0xu\u00e9""]",CN,China
Shandong Normal University,China,shandong normal university,https://openalex.org/I28006308,Shandong Normal University,"[""Shandong Normal College""]",CN,China
Shandong University,China,shandong university,https://openalex.org/I154099455,Shandong University,"[""Sh\u0101nd\u014dng D\u00e0xu\u00e9,""]",CN,China
Shandong University of Science and Technology,China,shandong university of science and technology,https://openalex.org/I80143920,Shandong University of Science and Technology,"[""Sh\u0101nd\u014dng K\u0113j\u00ec D\u00e0xu\u00e9""]",CN,China
Shandong University of Technology,China,shandong university of technology,https://openalex.org/I119203015,Shandong University of Technology,[],CN,China
Shanghai Jiao Tong University,China,shanghai jiao tong university,https://openalex.org/I183067930,Shanghai Jiao Tong University,"[""Shanghai Communications University""]",CN,China
Shanghai Maritime University,China,shanghai maritime university,https://openalex.org/I96733725,Shanghai Maritime University,[],CN,China
Shanghai Normal University,China,shanghai normal university,https://openalex.org/I21945476,Shanghai Normal University,[],CN,China
Shanghai Ocean University,China,shanghai ocean university,https://openalex.org/I44675526,Shanghai Ocean University,[],CN,China
Shanghai University,China,shanghai university,https://openalex.org/I113940042,Shanghai University,"[""Sh\u00e0ngh\u01cei D\u00e0xu\u00e9""]",CN,China
Shanghai University of Traditional Chinese Medicine,China,shanghai university of traditional chinese medicine,https://openalex.org/I4210098460,Shanghai University of Traditional Chinese Medicine,[],CN,China
Shantou University,China,shantou university,https://openalex.org/I32574673,Shantou University,"[""Sh\u00e0nt\u00f3u D\u00e0xu\u00e9""]",CN,China
Shanxi Medical University,China,shanxi medical university,https://openalex.org/I17721919,Shanxi Medical University,[],CN,China
Shanxi University,China,shanxi university,https://openalex.org/I181877577,Shanxi University,"[""Sh\u0101nx\u012b D\u00e0xu\u00e9""]",CN,China
