University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country
Tokyo Women's Medical University,Japan,tokyo women's medical university,https://openalex.org/I4210136522,Tokyo Women's Medical University,"[""Tokyo Women's Medical School""]",JP,Japan
Tongji University,China,tongji university,https://openalex.org/I116953780,Tongji University,"[""T\u00f3ngj\u00ec D\u00e0xu\u00e9"", ""\u540c\u6fdf\u5927\u5b78"", ""\u540c\u6d4e\u5927\u5b66""]",CN,China
Tottori University,Japan,tottori university,https://openalex.org/I4588055,Tottori University,"[""Tottori Daigaku"", ""National University Corporation Tottori University""]",JP,Japan
Tsinghua University,China,tsinghua university,https://openalex.org/I99065089,Tsinghua University,[],CN,China
TU Dortmund University,Germany,tu dortmund university,https://openalex.org/I200332995,TU Dortmund University,[],DE,Germany
Tufts University,United States,tufts university,https://openalex.org/I121934306,Tufts University,"[""Universitatis Tuftensis""]",US,United States
Tulane University,United States,tulane university,https://openalex.org/I114832834,Tulane University,[],US,United States
UiT The Arctic University of Norway,Norway,uit the arctic university of norway,https://openalex.org/I78037679,UiT The Arctic University of Norway,"[""University of Troms\u00f8 \u2013 The Arctic University of Norway"", ""Universitetet i Troms\u00f8 \u2013 Norges Arktiske Universitet"", ""Universitetet i Troms\u00f8 \u2013 Noregs Arktiske Universitet""]",NO,Norway
Ulsan National Institute of Science and Technology,South Korea,ulsan national institute of science and technology,https://openalex.org/I48566637,Ulsan National Institute of Science and Technology,"[""Ulsan Gwahak Gisul Daehakgyo""]",KR,South Korea
Umeå University,Sweden,umea university,https://openalex.org/I90267481,Umeå University,[],SE,Sweden
Uniformed Services University of the Health Sciences,United States,uniformed services university of the health sciences,https://openalex.org/I148314036,Uniformed Services University of the Health Sciences,[],US,United States
United Arab Emirates University,United Arab Emirates,united arab emirates university,https://openalex.org/I201726411,United Arab Emirates University,[],AE,United Arab Emirates
Universidad Autónoma Metropolitana,Mexico,universidad autonoma metropolitana,https://openalex.org/I200362191,Universidad Autónoma Metropolitana,[],MX,Mexico
Universidad de los Andes,Colombia,universidad de los andes,https://openalex.org/I162096671,Universidad de Los Andes,"[""University of los Andes"", ""Uniandes""]",CO,Colombia
Universidade de Vigo,Spain,universidade de vigo,https://openalex.org/I6289922,Universidade de Vigo,[],ES,Spain
Universidade Federal de Goiás,Brazil,universidade federal de goias,https://openalex.org/I68106152,Universidade Federal de Goiás,[],BR,Brazil
Universidade Federal de Juiz de Fora,Brazil,universidade federal de juiz de fora,https://openalex.org/I101100930,Universidade Federal de Juiz de Fora,[],BR,Brazil
Universidade Federal de Minas Gerais,Brazil,universidade federal de minas gerais,https://openalex.org/I110200422,Universidade Federal de Minas Gerais,[],BR,Brazil
Universidade Federal de Santa Catarina,Brazil,universidade federal de santa catarina,https://openalex.org/I4104125,Universidade Federal de Santa Catarina,"[""Federal University of Santa Catarina""]",BR,Brazil
Universidade Federal de Viçosa,Brazil,universidade federal de vicosa,https://openalex.org/I146165071,Universidade Federal de Viçosa,[],BR,Brazil
Universidade Federal do ABC,Brazil,universidade federal do abc,https://openalex.org/I71715416,Universidade Federal do ABC,[],BR,Brazil
Universidade Federal do Ceará,Brazil,universidade federal do ceara,https://openalex.org/I243754102,Universidade Federal do Ceará,"[""Cear\u00e1 Federal University""]",BR,Brazil
Universidade Federal do Espírito Santo,Brazil,universidade federal do espirito santo,https://openalex.org/I51235708,Universidade Federal do Espírito Santo,[],BR,Brazil
Universidade Nova de Lisboa,Portugal,universidade nova de lisboa,https://openalex.org/I83558840,Universidade Nova de Lisboa,[],PT,Portugal
Universität Hamburg,Germany,universitat hamburg,https://openalex.org/I159176309,Universität Hamburg,[],DE,Germany
Universitat Politècnica de València,Spain,universitat politecnica de valencia,https://openalex.org/I60053951,Universitat Politècnica de València,[],ES,Spain
Université Catholique de Louvain,Belgium,universite catholique de louvain,https://openalex.org/I95674353,Université Catholique de Louvain,"[""Universit\u00e9 catholique de Belgique""]",BE,Belgium
Université Côte d’Azur,France,universite cote d'azur,https://openalex.org/I201841394,Université Côte d'Azur,[],FR,France
Université de Sherbrooke,Canada,universite de sherbrooke,https://openalex.org/I135117807,Université de Sherbrooke,[],CA,Canada
Université Laval,Canada,universite laval,https://openalex.org/I43406934,Université Laval,[],CA,Canada
Université Libre de Bruxelles,Belgium,universite libre de bruxelles,https://openalex.org/I132053463,Université Libre de Bruxelles,[],BE,Belgium
Universiti Putra Malaysia,Malaysia,universiti putra malaysia,https://openalex.org/I130343225,Universiti Putra Malaysia,"[""Universiti Pertanian Malaysia""]",MY,Malaysia
Universiti Sains Malaysia,Malaysia,universiti sains malaysia,https://openalex.org/I139322472,Universiti Sains Malaysia,[],MY,Malaysia
Universiti Teknologi Petronas,Malaysia,universiti teknologi petronas,https://openalex.org/I203899302,Universiti Teknologi Petronas,[],MY,Malaysia
University College Cork,Ireland,university college cork,https://openalex.org/I27577105,University College Cork,"[""Col\u00e1iste na hOllscoile Corcaigh""]",IE,Ireland
University College Dublin,Ireland,university college dublin,https://openalex.org/I100930933,University College Dublin,"[""University College Dublin \u2013 National University of Ireland, Dublin""]",IE,Ireland
University College London,United Kingdom,university college london,https://openalex.org/I45129253,University College London,"[""London University"", ""University College, London""]",GB,United Kingdom
University of A Coruña,Spain,university of a coruna,https://openalex.org/I11019714,University of A Coruña,[],ES,Spain
University of Aberdeen,United Kingdom,university of aberdeen,https://openalex.org/I195460627,University of Aberdeen,[],GB,United Kingdom
University of Adelaide,Australia,university of adelaide,https://openalex.org/I5681781,University of Adelaide,"[""Adelaide Uni""]",AU,Australia
University of Agriculture Faisalabad,Pakistan,university of agriculture faisalabad,https://openalex.org/I61623833,University of Agriculture Faisalabad,"[""Punjab Agricultural College and Research Institute""]",PK,Pakistan
University of Agriculture in Kraków,Poland,university of agriculture in krakow,https://openalex.org/I3019092743,University of Agriculture in Krakow,"[""Uniwersytet Rolniczy w Krakowie"", ""Agricultural University of Krak\u00f3w""]",PL,Poland
University of Akron,United States,university of akron,https://openalex.org/I110152177,University of Akron,[],US,United States
"University of Alaska, Fairbanks",United States,university of alaska fairbanks,https://openalex.org/I141472210,University of Alaska Fairbanks,[],US,United States
University of Alberta,Canada,university of alberta,https://openalex.org/I154425047,University of Alberta,"[""UAlberta""]",CA,Canada
University of Alcalá,Spain,university of alcala,https://openalex.org/I189268942,University of Alcalá,[],ES,Spain
University of Alicante,Spain,university of alicante,https://openalex.org/I130194489,University of Alicante,"[""Universitat d'Alacant""]",ES,Spain
University of Amsterdam,Netherlands,university of amsterdam,https://openalex.org/I887064364,University of Amsterdam,[],NL,Netherlands
University of Angers,France,university of angers,https://openalex.org/I49451733,University of Angers,[],FR,France
University of Antioquia,Colombia,university of antioquia,https://openalex.org/I35961687,University of Antioquia,[],CO,Colombia
University of Antwerp,Belgium,university of antwerp,https://openalex.org/I149213910,University of Antwerp,"[""UAntwerp""]",BE,Belgium
University of Arizona,United States,university of arizona,https://openalex.org/I138006243,University of Arizona,[],US,United States
University of Auckland,New Zealand,university of auckland,https://openalex.org/I154130895,University of Auckland,[],NZ,New Zealand
University of Aveiro,Portugal,university of aveiro,https://openalex.org/I60858718,University of Aveiro,[],PT,Portugal
University of Barcelona,Spain,university of barcelona,https://openalex.org/I71999127,University of Barcelona,"[""Universitat de Barcelona""]",ES,Spain
University of Bari Aldo Moro,Italy,university of bari aldo moro,https://openalex.org/I5561750,University of Bari Aldo Moro,"[""University of Bari""]",IT,Italy
University of Basel,Switzerland,university of basel,https://openalex.org/I1850255,University of Basel,[],CH,Switzerland
University of Bath,United Kingdom,university of bath,https://openalex.org/I51601045,University of Bath,[],GB,United Kingdom
University of Bayreuth,Germany,university of bayreuth,https://openalex.org/I54009628,University of Bayreuth,[],DE,Germany
University of Belgrade,Serbia,university of belgrade,https://openalex.org/I4068193,University of Belgrade,"[""Univerzitet u Beogradu""]",RS,Serbia
University of Bergen,Norway,university of bergen,https://openalex.org/I4432739,University of Bergen,"[""Universitetet i Bergen""]",NO,Norway
University of Bern,Switzerland,university of bern,https://openalex.org/I118564535,University of Bern,[],CH,Switzerland
University of Birmingham,United Kingdom,university of birmingham,https://openalex.org/I79619799,University of Birmingham,"[""Birmingham University""]",GB,United Kingdom
University of Bologna,Italy,university of bologna,https://openalex.org/I9360294,University of Bologna,[],IT,Italy
University of Bonn,Germany,university of bonn,https://openalex.org/I135140700,University of Bonn,[],DE,Germany
University of Bordeaux,France,university of bordeaux,https://openalex.org/I15057530,University of Bordeaux,[],FR,France
University of Bremen,Germany,university of bremen,https://openalex.org/I180437899,University of Bremen,[],DE,Germany
University of Bristol,United Kingdom,university of bristol,https://openalex.org/I36234482,University of Bristol,[],GB,United Kingdom
University of British Columbia,Canada,university of british columbia,https://openalex.org/I141945490,University of British Columbia,[],CA,Canada
University of Bucharest,Romania,university of bucharest,https://openalex.org/I141595442,University of Bucharest,"[""Universitatea din Bucure\u0219ti""]",RO,Romania
University of Buenos Aires,Argentina,university of buenos aires,https://openalex.org/I24354313,University of Buenos Aires,[],AR,Argentina
University of Cádiz,Spain,university of cadiz,https://openalex.org/I39147953,University of Cádiz,[],ES,Spain
University of Cagliari,Italy,university of cagliari,https://openalex.org/I172446870,University of Cagliari,[],IT,Italy
University of Calabria,Italy,university of calabria,https://openalex.org/I45204951,University of Calabria,[],IT,Italy
University of Calcutta,India,university of calcutta,https://openalex.org/I106542073,University of Calcutta,[],IN,India
University of Calgary,Canada,university of calgary,https://openalex.org/I168635309,University of Calgary,[],CA,Canada
"University of California, Berkeley",United States,university of california berkeley,https://openalex.org/I95457486,"University of California, Berkeley","[""UC Berkeley""]",US,United States
"University of California, Davis",United States,university of california davis,https://openalex.org/I84218800,"University of California, Davis","[""UC Davis""]",US,United States
"University of California, Irvine",United States,university of california irvine,https://openalex.org/I204250578,"University of California, Irvine","[""UC Irvine""]",US,United States
"University of California, Los Angeles",United States,university of california los angeles,https://openalex.org/I161318765,"University of California, Los Angeles","[""State Normal School at Los Angeles"", ""University of California Southern Branch"", ""University of California at Los Angeles""]",US,United States
"University of California, Merced",United States,university of california merced,https://openalex.org/I156087764,"University of California, Merced","[""UC Merced""]",US,United States
"University of California, Riverside",United States,university of california riverside,https://openalex.org/I103635307,"University of California, Riverside","[""UC Riverside""]",US,United States
"University of California, San Diego",United States,university of california san diego,https://openalex.org/I36258959,"University of California, San Diego","[""UC San Diego""]",US,United States
"University of California, San Francisco",United States,university of california san francisco,https://openalex.org/I180670191,"University of California, San Francisco",[],US,United States
"University of California, Santa Barbara",United States,university of california santa barbara,https://openalex.org/I154570441,"University of California, Santa Barbara","[""UC Santa Barbara""]",US,United States
"University of California, Santa Cruz",United States,university of california santa cruz,https://openalex.org/I185103710,"University of California, Santa Cruz","[""UC Santa Cruz""]",US,United States
University of Cambridge,United Kingdom,university of cambridge,https://openalex.org/I241749,University of Cambridge,"[""Cambridge University""]",GB,United Kingdom
"University of Campania ""Luigi Vanvitelli""",Italy,"university of campania ""luigi vanvitelli""",https://openalex.org/I4210126337,"University of Campania ""Luigi Vanvitelli""","[""Second University of Naples""]",IT,Italy
University of Canberra,Australia,university of canberra,https://openalex.org/I188329596,University of Canberra,[],AU,Australia
University of Cantabria,Spain,university of cantabria,https://openalex.org/I13134134,University of Cantabria,[],ES,Spain
University of Canterbury,New Zealand,university of canterbury,https://openalex.org/I185492890,University of Canterbury,"[""Canterbury College""]",NZ,New Zealand
University of Cape Town,South Africa,university of cape town,https://openalex.org/I157614274,University of Cape Town,"[""South African College""]",ZA,South Africa
University of Castilla-La Mancha,Spain,university of castilla-la mancha,https://openalex.org/I79189158,University of Castilla-La Mancha,[],ES,Spain
University of Catania,Italy,university of catania,https://openalex.org/I39063666,University of Catania,[],IT,Italy
University of Central Florida,United States,university of central florida,https://openalex.org/I106165777,University of Central Florida,[],US,United States
University of Chicago,United States,university of chicago,https://openalex.org/I40347166,University of Chicago,"[""UChicago""]",US,United States
University of Chile,Chile,university of chile,https://openalex.org/I69737025,University of Chile,[],CL,Chile
University of Cincinnati,United States,university of cincinnati,https://openalex.org/I63135867,University of Cincinnati,[],US,United States
University of Clermont Auvergne,France,university of clermont auvergne,https://openalex.org/I4210103002,University of Clermont Auvergne,[],FR,France
University of Coimbra,Portugal,university of coimbra,https://openalex.org/I76903346,University of Coimbra,[],PT,Portugal
University of Cologne,Germany,university of cologne,https://openalex.org/I180923762,University of Cologne,[],DE,Germany
"University of Colorado, Boulder",United States,university of colorado boulder,https://openalex.org/I188538660,University of Colorado Boulder,"[""CU-Boulder""]",US,United States
"University of Colorado, Denver",United States,university of colorado denver,https://openalex.org/I921990950,University of Colorado Denver,[],US,United States
University of Connecticut,United States,university of connecticut,https://openalex.org/I140172145,University of Connecticut,"[""UConn""]",US,United States
University of Copenhagen,Denmark,university of copenhagen,https://openalex.org/I124055696,University of Copenhagen,"[""K\u00f8benhavns Universitet""]",DK,Denmark
University of Cordoba,Spain,university of cordoba,https://openalex.org/I53110688,University of Córdoba,[],ES,Spain
University of Crete,Greece,university of crete,https://openalex.org/I142617266,University of Crete,[],GR,Greece
University of Cyprus,Cyprus,university of cyprus,https://openalex.org/I34771391,University of Cyprus,[],CY,Cyprus
University of Debrecen,Hungary,university of debrecen,https://openalex.org/I132735039,University of Debrecen,"[""Debreceni Egyetem""]",HU,Hungary
University of Delaware,United States,university of delaware,https://openalex.org/I86501945,University of Delaware,[],US,United States
University of Delhi,India,university of delhi,https://openalex.org/I110166357,University of Delhi,"[""Delhi University""]",IN,India
University of Denver,United States,university of denver,https://openalex.org/I131651094,University of Denver,[],US,United States
University of Duisburg-Essen,Germany,university of duisburg-essen,https://openalex.org/I62318514,University of Duisburg-Essen,[],DE,Germany
University of Dundee,United Kingdom,university of dundee,https://openalex.org/I177639307,University of Dundee,"[""Universitas Dundensis""]",GB,United Kingdom
University of East Anglia,United Kingdom,university of east anglia,https://openalex.org/I1118541,University of East Anglia,[],GB,United Kingdom
University of Eastern Finland,Finland,university of eastern finland,https://openalex.org/I175532246,University of Eastern Finland,"[""It\u00e4-Suomen Yliopisto""]",FI,Finland
University of Electronic Science and Technology of China,China,university of electronic science and technology of china,https://openalex.org/I150229711,University of Electronic Science and Technology of China,[],CN,China
University of Essex,United Kingdom,university of essex,https://openalex.org/I110002522,University of Essex,[],GB,United Kingdom
University of Exeter,United Kingdom,university of exeter,https://openalex.org/I23923803,University of Exeter,[],GB,United Kingdom
University of Extremadura,Spain,university of extremadura,https://openalex.org/I80606768,University of Extremadura,[],ES,Spain
University of Ferrara,Italy,university of ferrara,https://openalex.org/I201324441,University of Ferrara,[],IT,Italy
University of Florence,Italy,university of florence,https://openalex.org/I45084792,University of Florence,"[""UniFI""]",IT,Italy
University of Florida,United States,university of florida,https://openalex.org/I33213144,University of Florida,"[""University of the State of Florida""]",US,United States
University of Freiburg,Germany,university of freiburg,https://openalex.org/I161046081,University of Freiburg,"[""Albert Ludwig University of Freiburg""]",DE,Germany
University of Fribourg,Switzerland,university of fribourg,https://openalex.org/I154338468,University of Fribourg,[],CH,Switzerland
University of Gdańsk,Poland,university of gdansk,https://openalex.org/I40413290,University of Gdańsk,"[""Uniwersytet Gda\u0144ski""]",PL,Poland
University of Geneva,Switzerland,university of geneva,https://openalex.org/I114457229,University of Geneva,"[""Schola Genevensis""]",CH,Switzerland
University of Genoa,Italy,university of genoa,https://openalex.org/I83816512,University of Genoa,[],IT,Italy
University of Ghana,Ghana,university of ghana,https://openalex.org/I138690464,University of Ghana,[],GH,Ghana
University of Girona,Spain,university of girona,https://openalex.org/I251424209,University of Girona,"[""Universitat de Girona""]",ES,Spain
University of Glasgow,United Kingdom,university of glasgow,https://openalex.org/I7882870,University of Glasgow,[],GB,United Kingdom
University of Gothenburg,Sweden,university of gothenburg,https://openalex.org/I881427289,University of Gothenburg,[],SE,Sweden
University of Granada,Spain,university of granada,https://openalex.org/I173304897,University of Granada,[],ES,Spain
University of Graz,Austria,university of graz,https://openalex.org/I15766117,University of Graz,"[""Carolo Franciscea Graecensis""]",AT,Austria
University of Greenwich,United Kingdom,university of greenwich,https://openalex.org/I55060895,University of Greenwich,[],GB,United Kingdom
University of Greifswald,Germany,university of greifswald,https://openalex.org/I36522303,University of Greifswald,[],DE,Germany
University of Groningen,Netherlands,university of groningen,https://openalex.org/I169381384,University of Groningen,"[""Academia Groningana""]",NL,Netherlands
University of Guadalajara,Mexico,university of guadalajara,https://openalex.org/I193181351,University of Guadalajara,[],MX,Mexico
University of Guelph,Canada,university of guelph,https://openalex.org/I79817857,University of Guelph,[],CA,Canada
University of Guilan,Iran,university of guilan,https://openalex.org/I877176835,University of Guilan,[],IR,Iran
University of Haifa,Israel,university of haifa,https://openalex.org/I91203450,University of Haifa,[],IL,Israel
University of Helsinki,Finland,university of helsinki,https://openalex.org/I133731052,University of Helsinki,[],FI,Finland
University of Hohenheim,Germany,university of hohenheim,https://openalex.org/I110079840,University of Hohenheim,[],DE,Germany
University of Hong Kong,China,university of hong kong,https://openalex.org/I889458895,University of Hong Kong,"[""Hong Kong University""]",CN,China
University of Houston,United States,university of houston,https://openalex.org/I44461941,University of Houston,[],US,United States
University of Huddersfield,United Kingdom,university of huddersfield,https://openalex.org/I133837150,University of Huddersfield,"[""Huddersfield University""]",GB,United Kingdom
University of Hull,United Kingdom,university of hull,https://openalex.org/I191240316,University of Hull,[],GB,United Kingdom
University of Hyderabad,India,university of hyderabad,https://openalex.org/I36893310,University of Hyderabad,"[""Hyderabad Central University""]",IN,India
University of Ibadan,Nigeria,university of ibadan,https://openalex.org/I181631907,University of Ibadan,"[""University College Ibadan""]",NG,Nigeria
University of Iceland,Iceland,university of iceland,https://openalex.org/I165368041,University of Iceland,"[""H\u00e1sk\u00f3li \u00cdslands""]",IS,Iceland
University of Idaho,United States,university of idaho,https://openalex.org/I155093810,University of Idaho,[],US,United States
"University of Illinois, Urbana-Champaign",United States,university of illinois urbana-champaign,https://openalex.org/I157725225,University of Illinois Urbana-Champaign,"[""University of Illinois""]",US,United States
University of Insubria,Italy,university of insubria,https://openalex.org/I115752224,University of Insubria,[],IT,Italy
University of Ioannina,Greece,university of ioannina,https://openalex.org/I194019607,University of Ioannina,"[""Panepistimio Ioanninon""]",GR,Greece
University of Iowa,United States,university of iowa,https://openalex.org/I126307644,University of Iowa,[],US,United States
University of Isfahan,Iran,university of isfahan,https://openalex.org/I39268498,University of Isfahan,"[""D\u0101neshg\u0101h-e Esf\u0101h\u0101n""]",IR,Iran
University of Jaén,Spain,university of jaen,https://openalex.org/I191420491,University of Jaén,[],ES,Spain
University of Jinan,China,university of jinan,https://openalex.org/I34949971,University of Jinan,"[""J\u01d0n\u00e1n D\u00e0xu\u00e9""]",CN,China
University of Johannesburg,South Africa,university of johannesburg,https://openalex.org/I24027795,University of Johannesburg,[],ZA,South Africa
University of Jordan,Jordan,university of jordan,https://openalex.org/I114972647,University of Jordan,[],JO,Jordan
University of Jyväskylä,Finland,university of jyvaskyla,https://openalex.org/I94722563,University of Jyväskylä,[],FI,Finland
University of Kansas,United States,university of kansas,https://openalex.org/I146416000,University of Kansas,[],US,United States
University of Karachi,Pakistan,university of karachi,https://openalex.org/I193670377,University of Karachi,[],PK,Pakistan
University of Kashan,Iran,university of kashan,https://openalex.org/I105818395,University of Kashan,[],IR,Iran
University of Kassel,Germany,university of kassel,https://openalex.org/I106157433,University of Kassel,[],DE,Germany
University of Kent,United Kingdom,university of kent,https://openalex.org/I20581793,University of Kent,"[""University of Kent at Canterbury""]",GB,United Kingdom
University of Kentucky,United States,university of kentucky,https://openalex.org/I143302722,University of Kentucky,[],US,United States
University of Konstanz,Germany,university of konstanz,https://openalex.org/I189712700,University of Konstanz,[],DE,Germany
University of KwaZulu-Natal,South Africa,university of kwazulu-natal,https://openalex.org/I95023434,University of KwaZulu-Natal,[],ZA,South Africa
University of L'Aquila,Italy,university of l'aquila,https://openalex.org/I26415053,University of L'Aquila,[],IT,Italy
University of Las Palmas de Gran Canaria,Spain,university of las palmas de gran canaria,https://openalex.org/I119635470,University of Las Palmas de Gran Canaria,[],ES,Spain
University of Lausanne,Switzerland,university of lausanne,https://openalex.org/I97565354,University of Lausanne,"[""Schola Lausannensis""]",CH,Switzerland
University of Leeds,United Kingdom,university of leeds,https://openalex.org/I130828816,University of Leeds,[],GB,United Kingdom
University of Leicester,United Kingdom,university of leicester,https://openalex.org/I153648349,University of Leicester,[],GB,United Kingdom
University of Liège,Belgium,university of liege,https://openalex.org/I157674565,University of Liège,"[""ULi\u00e8ge""]",BE,Belgium
University of Lille,France,university of lille,https://openalex.org/I2279609970,University of Lille,"[""Ulille"", ""univ-lille""]",FR,France
University of Limerick,Ireland,university of limerick,https://openalex.org/I230495080,University of Limerick,"[""Ollscoil Luimnigh""]",IE,Ireland
University of Liverpool,United Kingdom,university of liverpool,https://openalex.org/I146655781,University of Liverpool,[],GB,United Kingdom
University of Ljubljana,Slovenia,university of ljubljana,https://openalex.org/I153976015,University of Ljubljana,"[""Univerza v Ljubljani""]",SI,Slovenia
University of Lleida,Spain,university of lleida,https://openalex.org/I15766328,University of Lleida,"[""Universitat de Lleida""]",ES,Spain
University of Łódź,Poland,university of lodz,https://openalex.org/I34250744,University of Łódź,"[""Uniwersytet \u0141\u00f3dzki""]",PL,Poland
University of Louisville,United States,university of louisville,https://openalex.org/I142740786,University of Louisville,[],US,United States
University of Luxembourg,Luxembourg,university of luxembourg,https://openalex.org/I186903577,University of Luxembourg,[],LU,Luxembourg
University of Macau,China,university of macau,https://openalex.org/I204512498,University of Macau,"[""University of East Asia""]",CN,China
University of Malaga,Spain,university of malaga,https://openalex.org/I82767444,University of Malaga,[],ES,Spain
University of Malaya,Malaysia,university of malaya,https://openalex.org/I33849332,University of Malaya,"[""Universiti Malaya""]",MY,Malaysia
University of Manitoba,Canada,university of manitoba,https://openalex.org/I46247651,University of Manitoba,[],CA,Canada
University of Maribor,Slovenia,university of maribor,https://openalex.org/I37696226,University of Maribor,"[""Univerza v Mariboru""]",SI,Slovenia
"University of Maryland, Baltimore",United States,university of maryland baltimore,https://openalex.org/I126744593,"University of Maryland, Baltimore",[],US,United States
"University of Maryland, Baltimore County",United States,university of maryland baltimore county,https://openalex.org/I79272384,"University of Maryland, Baltimore County",[],US,United States
"University of Maryland, College Park",United States,university of maryland college park,https://openalex.org/I66946132,"University of Maryland, College Park",[],US,United States
University of Massachusetts Amherst,United States,university of massachusetts amherst,https://openalex.org/I24603500,University of Massachusetts Amherst,"[""UMass Amherst""]",US,United States
University of Massachusetts Boston,United States,university of massachusetts boston,https://openalex.org/I33434090,University of Massachusetts Boston,"[""UMass Boston""]",US,United States
University of Massachusetts Lowell,United States,university of massachusetts lowell,https://openalex.org/I133738476,University of Massachusetts Lowell,"[""UMass Lowell""]",US,United States
University of Massachusetts Medical School,United States,university of massachusetts medical school,https://openalex.org/I166722992,University of Massachusetts Medical School,"[""UMass Medical School""]",US,United States
University of Mazandaran,Iran,university of mazandaran,https://openalex.org/I4871159,University of Mazandaran,"[""Reza Shah Kabir University""]",IR,Iran
University of Melbourne,Australia,university of melbourne,https://openalex.org/I165779595,University of Melbourne,"[""Melbourne University""]",AU,Australia
University of Memphis,United States,university of memphis,https://openalex.org/I94658018,University of Memphis,[],US,United States
University of Messina,Italy,university of messina,https://openalex.org/I112862951,University of Messina,[],IT,Italy
University of Miami,United States,university of miami,https://openalex.org/I145608581,University of Miami,[],US,United States
University of Milan,Italy,university of milan,https://openalex.org/I189158943,University of Milan,"[""Statale""]",IT,Italy
University of Milano-Bicocca,Italy,university of milano-bicocca,https://openalex.org/I66752286,University of Milano-Bicocca,[],IT,Italy
University of Minho,Portugal,university of minho,https://openalex.org/I99682543,University of Minho,[],PT,Portugal
University of Mississippi,United States,university of mississippi,https://openalex.org/I368840534,University of Mississippi,[],US,United States
University of Modena and Reggio Emilia,Italy,university of modena and reggio emilia,https://openalex.org/I122346577,University of Modena and Reggio Emilia,[],IT,Italy
University of Monastir,Tunisia,university of monastir,https://openalex.org/I166928557,University of Monastir,[],TN,Tunisia
University of Montana,United States,university of montana,https://openalex.org/I6750721,University of Montana,[],US,United States
University of Montpellier,France,university of montpellier,https://openalex.org/I19894307,University of Montpellier,"[""Montpellier 1 University"", ""Montpellier 2 University""]",FR,France
University of Münster,Germany,university of munster,https://openalex.org/I22465464,University of Münster,[],DE,Germany
University of Murcia,Spain,university of murcia,https://openalex.org/I80180929,University of Murcia,[],ES,Spain
University of Naples Federico II,Italy,university of naples federico ii,https://openalex.org/I71267560,University of Naples Federico II,[],IT,Italy
University of Navarra,Spain,university of navarra,https://openalex.org/I88155538,University of Navarra,"[""Universidad de Navarra""]",ES,Spain
University of Nebraska Medical Center,United States,university of nebraska medical center,https://openalex.org/I59130452,University of Nebraska Medical Center,[],US,United States
"University of Nevada, Las Vegas",United States,university of nevada las vegas,https://openalex.org/I133999245,"University of Nevada, Las Vegas",[],US,United States
"University of Nevada, Reno",United States,university of nevada reno,https://openalex.org/I134113660,University of Nevada Reno,"[""University of Nevada""]",US,United States
University of New Brunswick,Canada,university of new brunswick,https://openalex.org/I106938459,University of New Brunswick,"[""Academy of Liberal Arts and Sciences"", ""College of New Brunswick"", ""King's College""]",CA,Canada
University of New England,Australia,university of new england,https://openalex.org/I90745801,University of New England,"[""New England University College of the University of Sydney""]",AU,Australia
University of New Hampshire,United States,university of new hampshire,https://openalex.org/I161057412,University of New Hampshire,[],US,United States
University of New Mexico,United States,university of new mexico,https://openalex.org/I169521973,University of New Mexico,"[""Universitatis Novus Mexico""]",US,United States
University of Nigeria,Nigeria,university of nigeria,https://openalex.org/I11892038,University of Nigeria,[],NG,Nigeria
University of Nis,Serbia,university of nis,https://openalex.org/I152518017,University of Nis,"[""Univerzitet u Ni\u0161u""]",RS,Serbia
University of North Dakota,United States,university of north dakota,https://openalex.org/I24571045,University of North Dakota,[],US,United States
University of North Texas,United States,university of north texas,https://openalex.org/I123534392,University of North Texas,[],US,United States
University of Notre Dame,United States,university of notre dame,https://openalex.org/I107639228,University of Notre Dame,[],US,United States
University of Nottingham,United Kingdom,university of nottingham,https://openalex.org/I142263535,University of Nottingham,[],GB,United Kingdom
University of Novi Sad,Serbia,university of novi sad,https://openalex.org/I170726198,University of Novi Sad,"[""Univerzitet u Novom Sadu""]",RS,Serbia
University of Oklahoma,United States,university of oklahoma,https://openalex.org/I8692664,University of Oklahoma,[],US,United States
University of Oregon,United States,university of oregon,https://openalex.org/I181233156,University of Oregon,[],US,United States
University of Orléans,France,university of orleans,https://openalex.org/I12449238,University of Orléans,[],FR,France
University of Oslo,Norway,university of oslo,https://openalex.org/I184942183,University of Oslo,"[""Royal Frederick University""]",NO,Norway
University of Otago,New Zealand,university of otago,https://openalex.org/I80281795,University of Otago,[],NZ,New Zealand
University of Ottawa,Canada,university of ottawa,https://openalex.org/I153718931,University of Ottawa,[],CA,Canada
University of Oulu,Finland,university of oulu,https://openalex.org/I98381234,University of Oulu,"[""Oulun yliopisto""]",FI,Finland
University of Oviedo,Spain,university of oviedo,https://openalex.org/I165339363,University of Oviedo,"[""Universid\u00e1 d'Uvi\u00e9u""]",ES,Spain
University of Oxford,United Kingdom,university of oxford,https://openalex.org/I40120149,University of Oxford,"[""Oxford University""]",GB,United Kingdom
University of Palermo,Italy,university of palermo,https://openalex.org/I900890020,University of Palermo,[],IT,Italy
University of Parma,Italy,university of parma,https://openalex.org/I124601658,University of Parma,[],IT,Italy
University of Patras,Greece,university of patras,https://openalex.org/I174878644,University of Patras,"[""Panepist\u00edmio Patr\u00f3n""]",GR,Greece
University of Pavia,Italy,university of pavia,https://openalex.org/I25217355,University of Pavia,"[""Universit\u00e0 di Pavia""]",IT,Italy
