University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country,keep,comment
Universität Regensburg,Germany,universitat regensburg,https://openalex.org/I60668342,University of Regensburg,NA,DE,Germany,TRUE,
Universitat Rovira i Virgili,Spain,universitat rovira i virgili,https://openalex.org/I55952717,Rovira i Virgili University,NA,ES,Spain,TRUE,
Universität zu Lübeck,Germany,universitat zu lubeck,https://openalex.org/I9341345,University of Lübeck,NA,DE,Germany,TRUE,
Université de Lorraine,France,universite de lorraine,https://openalex.org/I90183372,University of Lorraine,NA,FR,France,TRUE,
Université de Montréal,Canada,universite de montreal,https://openalex.org/I70931966,University of Montreal,NA,CA,Canada,TRUE,
Université de Nantes,France,universite de nantes,https://openalex.org/I97188460,University of Nantes,NA,FR,France,TRUE,
Université de Paris,France,universite de paris,https://openalex.org/I204730241,University of Paris,NA,FR,France,TRUE,
Université de Tours,France,universite de tours,https://openalex.org/I110017253,François Rabelais University,NA,FR,France,TRUE,
Université de Tunis El Manar,Tunisia,universite de tunis el manar,https://openalex.org/I63596082,Tunis El Manar University,NA,TN,Tunisia,TRUE,
Université de Versailles Saint-Quentin-en-Yvelines,France,universite de versailles saint-quentin-en-yvelines,https://openalex.org/I195731000,Versailles Saint-Quentin-en-Yvelines University,NA,FR,France,TRUE,
Université des Sciences et de la Technologie Houari Boumediene,Algeria,universite des sciences et de la technologie houari boumediene,https://openalex.org/I157169809,University of Sciences and Technology Houari Boumediene,NA,DZ,Algeria,TRUE,
Université du Québec à Montréal,Canada,universite du quebec a montreal,https://openalex.org/I159129438,University of Quebec at Montreal,NA,CA,Canada,TRUE,
Université Grenoble Alpes,France,universite grenoble alpes,https://openalex.org/I899635006,Grenoble Alpes University,NA,FR,France,TRUE,
Université Paris Sciences et Lettres,France,universite paris sciences et lettres,https://openalex.org/I2746051580,PSL Research University,NA,FR,France,TRUE,
Université Paris-Est Créteil Val de Marne,France,universite paris-est creteil val de marne,https://openalex.org/I2800365227,University of Paris-Est,NA,FR,France,TRUE,
Université Paris-Saclay,France,universite paris-saclay,https://openalex.org/I277688954,University of Paris-Saclay,NA,FR,France,TRUE,
Université Sorbonne Paris Nord,France,universite sorbonne paris nord,https://openalex.org/I4210091279,Paris 13 University,NA,FR,France,TRUE,
Université Toulouse III - Paul Sabatier,France,universite toulouse iii - paul sabatier,https://openalex.org/I134560555,Paul Sabatier University,NA,FR,France,TRUE,
Universiti Kebangsaan Malaysia,Malaysia,universiti kebangsaan malaysia,https://openalex.org/I2801594805,University Kebangsaan Malaysia Medical Centre,NA,MY,Malaysia,TRUE,
Universiti Teknologi Malaysia,Malaysia,universiti teknologi malaysia,https://openalex.org/I4576418,University of Technology Malaysia,NA,MY,Malaysia,TRUE,
"University at Albany, The State University of New York",United States,university at albany the state university of new york,https://openalex.org/I392282,"University at Albany, State University of New York",NA,US,United States,TRUE,
