id,issn_l,issn,pissn,eissn,display_name,journal_title,publisher.x,publisher.y
https://openalex.org/V80081633,0015-1823,null,0015-1823,2704-8195,Filosofia,Filosofia,NA,Mimesis Edizioni
https://openalex.org/V2736341633,2182-8547,null,2182-8547,2182-8717,Revista CROMA,Revista CROMA,NA,Universidade de Lisboa
https://openalex.org/V2736347004,1488-559X,null,NA,1488-559X,Journal of Military and Strategic Studies,Journal of Military and Strategic Studies,NA,"Centre for Military, Security and Strategic Studies"
https://openalex.org/V2736780697,1988-3927,null,NA,1988-3927,El Genio Maligno : Revista de Humanidades y Ciencias Sociales,El Genio Maligno : Revista de Humanidades y Ciencias Sociales,NA,Asociación Cultural Cancro
https://openalex.org/V2737089086,1590-4946,null,1590-4946,1825-9618,Scienza & Politica,Scienza & Politica,NA,University of Bologna
https://openalex.org/V2737243957,2421-5821,null,NA,2421-5821,Medea,Medea,NA,Università degli Studi di Cagliari
https://openalex.org/V4210167993,0320-2372,"[""0320-2372"", ""2078-2373""]",0320-2372,2078-2373,Ìноземна філологія,Іноземна філологія,Ivan Franko National University of Lviv,Ivan Franko National University of Lviv
https://openalex.org/V2738040644,2069-3508,null,NA,2069-3508,Hyperion International Journal of Econophysics & New Economy,Hyperion International Journal of Econophysics & New Economy,NA,Hyperion University
https://openalex.org/V2738443410,1317-6099,null,1317-6099,NA,Compendium,Compendium,NA,Universidad Centroccidental Lisandro Alvarado
https://openalex.org/V2738808281,1220-5567,null,1220-5567,2344-4657,Revista Romana de Economie,Revista Romana de Economie,NA,Romanian Academy
https://openalex.org/V2764437501,2251-8894,null,2251-8894,2252-0554,Iranian Journal of Veterinary Medicine,Iranian Journal of Veterinary Medicine,NA,University of Tehran
https://openalex.org/V2764440257,2322-2093,null,2322-2093,2423-6691,Civil engineering infrastructures journal,Civil Engineering Infrastructures Journal,NA,University of Tehran Press
https://openalex.org/V4210173228,2103-6527,"[""2262-5534"", ""2103-6527""]",NA,2262-5534,Perspectives médiévales,Perspectives Médiévales,NA,Société de Langues et de Littératures Médiévales d'Oc et d'Oil
https://openalex.org/V2764614051,1684-2782,null,1684-2782,2309-6535,HEALTH SCIENCES AND DISEASES,Health Sciences and Diseases,NA,University of Yaoundé
https://openalex.org/V4210182614,2526-5180,"[""2526-5180"", ""2526-5644""]",2526-5644,NA,Delictae,Delictae: Revista de Estudos Interdisciplinares sobre o Delito,Delictae: Revista de Estudos Interdisciplinares sobre o Delito,Pontifícia Universidade Católica de Minas Gerais
https://openalex.org/V2764760817,1492-9732,null,NA,1492-9732,ACME: an International E-Journal for Critical Geographies,ACME,NA,ACME Editorial Collective
https://openalex.org/V4210185141,2477-1309,"[""2477-1309""]",2477-1309,2477-1201,Islam realitas: journal of islamic & social studies,Islam Realitas: Journal of Islamic & Social Studies,IAIN Bukittinggi,LP2M IAIN Bukittinggi
https://openalex.org/V2764778987,1001-5256,null,1001-5256,NA,Journal of Clinical Hepatology,Linchuang Gandanbing Zazhi,NA,Editorial Department of Journal of Clinical Hepatology
https://openalex.org/V4210221676,2544-1361,"[""2544-2406"", ""2544-1361""]",2544-2406,2544-1361,European Journal of Clinical and Experimental Medicine,European Journal of Clinical and Experimental Medicine,University of Rzeszow,Publishing Office of the University of Rzeszów
https://openalex.org/V4210200879,2715-6249,"[""2715-6249""]",NA,2715-6249,Professional Health Journal,Professional Health Journal,PPPM Pusat Penelitian dan Pengabdian Masyarakat Stikes Banyuwangi,PPPM STIKES Banyuwangi
https://openalex.org/V4210201368,2723-1402,"[""2723-1402"", ""2745-5289""]",2745-5289,2723-1402,International Journal of Islamic Educational Psychology,International Journal of Islamic Educational Psychology,Universitas Muhammadiyah Yogyakarta,Universitas Muhammadiyah Yogyakarta
https://openalex.org/V4210231202,2069-9271,"[""2069-9271"", ""2247-9163""]",2069-9271,2247-9163,Word and Text,Word and Text,Universitatea Petrol-Gaze din Ploiesti,Editura Universitatii Petrol-Gaze din Ploiesti
https://openalex.org/V4210206248,2633-4674,"[""2633-4674""]",NA,2633-4674,Journal of marine sciences,Journal of Marine Sciences,Hindawi Limited,Hindawi Limited
https://openalex.org/V4210206564,2527-0044,"[""2527-0044""]",NA,2527-0044,Diversidade e Gestão,Diversidade e Gestão,Even3,"Universidade Federal Rural do Rio de Janeiro, Instituto Três Rios"
https://openalex.org/V4210212188,2356-3591,"[""2356-3591""]",2356-3591,2502-2903,Psympathic,Psympathic: Jurnal Ilmiah Psikologi,Sunan Gunung Djati State Islamic University of Bandung,UIN Sunan Gunung Djati Bandung
https://openalex.org/V4210240546,0121-8670,"[""0121-8670""]",0121-8670,2256-1161,Revista Criterios,Revista Criterios,Universidad Mariana,Editorial UNIMAR
https://openalex.org/V165334205,1224-2780,null,1224-2780,1843-2875,Balkan Journal of Geometry and Its Applications,Balkan Journal of Geometry and Its Applications,NA,"Geometry Balkan Press, Bucharest"
https://openalex.org/V2765061134,2307-8162,null,2307-8162,NA,International Journal of Open Information Technologies,International Journal of Open Information Technologies,NA,Lomonosov Moscow State University
https://openalex.org/V2736698614,1008-1542,null,1008-1542,NA,Journal of Hebei University of Science and Technology,Journal of Hebei University of Science and Technology,NA,Hebei University of Science and Technology
https://openalex.org/V2737204489,2069-4008,null,2069-4008,2069-4016,"Annals of Philosophy, Social and Human Disciplines","Annals of Philosophy, Social and Human Disciplines",NA,"Universitatea ""Stefan cel Mare"" Suceava"
https://openalex.org/V2738112740,2227-2895,null,2227-2895,2313-0059,Journal Of Babylon Center For Humanities Studies,Journal Of Babylon Center For Humanities Studies,NA,University of Babylon
https://openalex.org/V2738129976,2007-8773,null,NA,2007-8773,Gremium,Gremium,NA,Restauro Compás y Canto (RCC)
https://openalex.org/V2738513962,1901-3809,null,1901-3809,2261-2807,Synergies Pays Scandinaves,Synergies Pays Scandinaves,NA,Groupe d’Etudes et de Recherches pour le Français Langue Internationale (GERFLINT)
https://openalex.org/V2739187190,0023-8082,null,0023-8082,2700-7898,Landtechnik,Landtechnik,NA,Kuratorium für Technik und Bauwesen in der Landwirtschaft e. V.
https://openalex.org/V4210172256,2089-0877,"[""2089-0877""]",2089-0877,2502-2962,Biopropal Industri,Biopropal Industri,"Jurnal Biopropal Industri, Balai Riset dan Standardisasi Industri Pontianak",Balai Riset dan Standardisasi Industri Pontianak
https://openalex.org/V2764495479,2008-9147,null,2008-9147,2717-3364,Journal of Cell and Molecular Research,Journal of Cell and Molecular Research,NA,Ferdowsi University of Mashhad
https://openalex.org/V2764791765,2035-7362,null,2035-7362,NA,Doctor Virtualis,Doctor Virtualis,NA,Università degli Studi di Milano
https://openalex.org/V4210221195,2734-9314,"[""2734-9314""]",2734-9314,2734-9586,Ho Chi Minh City Open University Journal of Science - Economics and Business Administration,Ho Chi Minh City Open University Journal of Science - Economics and Business Administration,Ho Chi Minh City Open University,HO CHI MINH CITY OPEN UNIVERSITY JOURNAL OF SCIENCE
https://openalex.org/V4210197478,2549-9009,"[""2549-9009""]",2549-9009,2579-7387,English community journal,English Community Journal,Universitas Muhammadiyah Palembang,Program Studi Pendidikan Bahasa Inggris
https://openalex.org/V4210232171,2656-7806,"[""2656-7806""]",NA,2656-7806,Indonesian Midwifery and Health Sciences Journal,Indonesian Midwifery and Health Sciences Journal,Universitas Airlangga,Universitas Airlangga
https://openalex.org/V4210218214,1302-9940,"[""1302-9940""]",1302-9940,1308-8491,Çocuk dergisi,Çocuk Dergisi,Istanbul University,Istanbul University Press
https://openalex.org/V166472302,1938-4122,null,NA,1938-4122,Digital Humanities Quarterly,Digital Humanities Quarterly,NA,Alliance of Digital Humanities Organizations
